ZS0266,65018.2009,41280.9621,434.4483,66018.2009,41280.9621,434.4483
ZS0265,66018.2014,41280.9620,434.4474,66018.2014,41280.9620,434.4474
ZS0264,66018.2009,41280.9648,434.4479,66018.2009,41280.9648,434.4479
ZS0263,66018.2004,41280.9613,434.4489,66018.2004,41280.9613,434.4489
ZS0262,66018.2008,41280.9618,434.4485,66018.2008,41280.9618,434.4485
ZS0261,66018.2008,41280.9624,434.4494,66018.2008,41280.9624,434.4494
ZS0260,66023.5014,41305.3089,440.0189,66023.5014,41305.3089,440.0189
ZS0259,66023.5022,41305.3080,440.0177,66023.5022,41305.3080,440.0177
ZS0258,66023.5022,41305.3093,440.0180,66023.5022,41305.3093,440.0180
ZS0257,66023.5022,41305.3100,440.0188,66023.5022,41305.3100,440.0188
ZS0256,66023.5037,41305.3109,440.0154,66023.5037,41305.3109,440.0154
ZS0255,66023.5023,41305.3063,440.0138,66023.5023,41305.3063,440.0138
ZS0254,66019.5063,41287.3650,434.9310,66019.5063,41287.3650,434.9310
